datetime                     lane speed  length  class   gap   wrong_dir  display  flash
Wed Aug 30 16:10:39 CEST 2017  2     35    49      2    1776      00         0    
Wed Aug 30 16:10:39 CEST 2017  1     48    50      2    6200      00         0    
Wed Aug 30 16:10:41 CEST 2017  1     46    38      2    1184      00         0    
Wed Aug 30 16:10:41 CEST 2017  2     35    61      4    1632      00         0    
Wed Aug 30 16:10:43 CEST 2017  2     36    45      2    1424      00         0    
Wed Aug 30 16:10:47 CEST 2017  2     36    39      2    3112      00         0    
Wed Aug 30 16:10:53 CEST 2017  1     50    49      2    11616      00         0    
Wed Aug 30 16:11:00 CEST 2017  1     53    84      3    6416      00         0    
Wed Aug 30 16:11:04 CEST 2017  1     47    44      2    3256      00         0    
Wed Aug 30 16:11:07 CEST 2017  1     52    48      2    2368      00         0    
Wed Aug 30 16:11:10 CEST 2017  1     47    44      2    2656      00         0    
Wed Aug 30 16:11:13 CEST 2017  1     43    43      2    2432      00         0    
Wed Aug 30 16:11:16 CEST 2017  1     49    46      2    2920      00         0    
Wed Aug 30 16:11:18 CEST 2017  1     50    51      2    1640      00         0    
Wed Aug 30 16:11:22 CEST 2017  1     41    44      2    3344      00         0    
Wed Aug 30 16:11:24 CEST 2017  1     44    49      2    1560      00         0    
Wed Aug 30 16:11:30 CEST 2017  1     52    50      2    5352      00         0    
Wed Aug 30 16:11:32 CEST 2017  1     53    48      2    1360      00         0    
Wed Aug 30 16:11:39 CEST 2017  2     56    48      2    52024      00         0    
Wed Aug 30 16:11:43 CEST 2017  2     51    41      2    3144      00         0    
Wed Aug 30 16:11:43 CEST 2017  1     46    51      2    10848      00         0    
Wed Aug 30 16:11:46 CEST 2017  1     49    57      2    2776      00         0    
Wed Aug 30 16:11:49 CEST 2017  1     47    71      7    1896      00         0    
Wed Aug 30 16:11:50 CEST 2017  2     49    39      2    7064      00         0    
Wed Aug 30 16:11:52 CEST 2017  2     45    38      2    1016      00         0    
Wed Aug 30 16:11:53 CEST 2017  2     45    44      2    976      00         0    
Wed Aug 30 16:11:53 CEST 2017  1     45    45      2    3680      00         0    
Wed Aug 30 16:11:55 CEST 2017  1     45    47      2    808      00         0    
Wed Aug 30 16:11:55 CEST 2017  2     44    48      2    888      00         0    
Wed Aug 30 16:11:56 CEST 2017  2     39    38      2    704      00         0    
Wed Aug 30 16:11:57 CEST 2017  2     38    44      2    824      00         0    
Wed Aug 30 16:11:58 CEST 2017  1     43    50      2    2304      00         0    
Wed Aug 30 16:11:59 CEST 2017  1     40    46      2    528      00         0    
Wed Aug 30 16:11:59 CEST 2017  2     36    46      2    608      00         0    
Wed Aug 30 16:12:01 CEST 2017  2     34    35      2    1200      00         0    
Wed Aug 30 16:12:01 CEST 2017  1     41    78      7    1064      00         0    
Wed Aug 30 16:12:02 CEST 2017  1     47    38      2    1240      00         0    
Wed Aug 30 16:12:02 CEST 2017  2     34    46      2    1008      00         0    
Wed Aug 30 16:12:04 CEST 2017  2     32    37      2    1512      00         0    
Wed Aug 30 16:12:05 CEST 2017  1     51    61      4    2008      00         0    
Wed Aug 30 16:12:06 CEST 2017  2     29    44      2    920      00         0    
Wed Aug 30 16:12:06 CEST 2017  1     51    42      2    976      00         0    
Wed Aug 30 16:12:07 CEST 2017  2     28    39      2    824      00         0    
Wed Aug 30 16:12:10 CEST 2017  2     26    38      2    1224      00         0    
Wed Aug 30 16:12:11 CEST 2017  1     44    51      2    4400      00         0    
Wed Aug 30 16:12:12 CEST 2017  2     25    38      2    1296      00         0    
Wed Aug 30 16:12:13 CEST 2017  2     26    38      2    600      00         0    
Wed Aug 30 16:12:14 CEST 2017  1     47    52      2    2464      00         0    
Wed Aug 30 16:12:16 CEST 2017  2     30    53      2    1856      00         0    
Wed Aug 30 16:12:16 CEST 2017  1     47    48      2    1896      00         0    
Wed Aug 30 16:12:18 CEST 2017  2     30    54      2    984      00         0    
Wed Aug 30 16:12:20 CEST 2017  1     53    52      2    3336      00         0    
Wed Aug 30 16:12:20 CEST 2017  2     33    48      2    2264      00         0    
Wed Aug 30 16:12:24 CEST 2017  1     48    53      2    2904      00         0    
Wed Aug 30 16:12:24 CEST 2017  2     32    46      2    2784      00         0    
Wed Aug 30 16:12:25 CEST 2017  1     48    43      2    1192      00         0    
Wed Aug 30 16:12:26 CEST 2017  2     31    61      4    1256      00         0    
Wed Aug 30 16:12:29 CEST 2017  2     28    46      2    1864      00         0    
Wed Aug 30 16:12:30 CEST 2017  1     48    45      2    4344      00         0    
Wed Aug 30 16:12:45 CEST 2017  1     35    37      2    13808      00         0    
Wed Aug 30 16:12:59 CEST 2017  1     57    40      2    13720      00         0    
Wed Aug 30 16:13:01 CEST 2017  1     50    50      2    2208      00         0    
Wed Aug 30 16:13:11 CEST 2017  2     56    53      2    42248      00         0    
Wed Aug 30 16:13:12 CEST 2017  1     49    43      2    10224      00         0    
Wed Aug 30 16:13:13 CEST 2017  2     51    49      2    1392      00         0    
Wed Aug 30 16:13:15 CEST 2017  2     49    42      2    1680      00         0    
Sat Sep 02 19:00:11 CEST 2017  1     53    41      2    10952      00         0    
Sat Sep 02 19:00:15 CEST 2017  1     49    43      2    3736      00         0    
